customer_tweet_id,customer_text,support_tweet_id,support_text,intent
87139,@AppleSupport battery awful since update IOS 11.1 why?? Can I go back and undo update??,87138,@135066 That’s not the experience we’d like you to have with your battery. We don’t have a way to go to a previous iOS version. We’d like to start by confirming your iOS version in DM. Find it under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,battery_charging
446519,iPhone 8+ screen goes dark. Auto brightness is disabled and it still goes dark what is going on? 📱@AppleSupport,446518,@220770 Check out this link for tips to adjust your brightness: https://t.co/it24SqZD78 Let us know if you have questions or the issue lingers. We can help. https://t.co/GDrqU22YpT,device_issue
813468,Latest @115858 update has removed half of my contacts. Cmon Apple,813467,@313846 We'd like to help. Join us in DM and we'll get started.,device_issue
867456,@AppleSupport Yes please. For the sake of freeing up a bit of memory space. Thanks,867458,"@325978 Those apps can’t be removed. However, you can optimize your iOS storage with these tips: https://t.co/0yFHFRYSnX",device_issue
2558745,@AppleSupport No not for the videos. Only audios,2558747,@726377 Does this happen with all sites that have audio files involved?  Does this also happen when using cellular data?  Let us know in DM. https://t.co/GDrqU22YpT,app_issue
601394,"@AppleSupport I was just updating Sierra on my Mac and an error occurred and it restarted  and now my computer won't reboot, it's 1/3 loading and then it shuts off, ive tried recovery mode but it won't let me!!",601392,"@262671 We'd love to help you get your Mac sorted out! Let's see if we can start up  in Safe Mode. To do that, make sure the system is shut down. Start it back up and immediately after you hear the startup sound, hold down the Shift Key until you see that Apple Logo.",ios_update
1683422,"Dear @AppleSupport I’m really tired of the camera turning Live, Flash and HDR on after I keep turning them off. Please fix this.",1683420,"@511683 We can help you. Let's try changing these settings through Settings &gt; Camera. For 'Live' photo, select Preserve Settings.",device_issue
2477608,@AppleSupport Still happeninh yes. And I’m using a standard Apple Keyboard. We don’t have any others.,2477609,@273863 Understood. Let's follow up in DM. Tell us if this happens while using macOS as the default operating system there. https://t.co/GDrqU22YpT,device_issue
2286244,"@AppleSupport I ain't stuck anymore cause I just reseted it completely. But sometimes it stills freezes between apps.. Like when I have to shut everything down to open Instagram (gets a white screen). I can't restore in iTunes, since it does not sync. And Windows find it.",2286246,"@664340 When you say that you can't sync, do you mean iTunes does not recognize that your phone is plugged in?",app_issue
2897720,@AppleSupport Could you help? Tweet above.,2897719,"@635749 We'll be happy to assist. To confirm our understanding, this started happening today after turning on airplane mode correct? Have you tried ejecting the SIM card and putting it back in to see if that helps?",connectivity
2018946,"On an unrelated note, the iPhone 8 has a major touch-responsiveness issue. I can’t believe this is what we get for USD 1000 @AppleSupport",2018945,@597073 Hello. It's important to us that you enjoy your iPhone 8. Please touch base with us via DM and we'll find an answer together: https://t.co/GDrqU22YpT,device_issue
1614441,@AppleSupport I don’t want to keep auto correct turned off so please fix this “I” glitch 😭,1614440,@495209 Let's try following this article and see if it helps: https://t.co/xXaXeeSRt9,device_issue
1991145,Dammit @115858 ! Fix the issue with “I️” the fck!,1991144,@589285 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,device_issue
448338,"@AppleSupport Thanks. I’m literally always on WiFi, home or other networks. Automatic dlds are on on all devices. It’s happening on several iPhones and iPads with different Apple ids. It looks like the auto dld wakes up when I enter the AppStore, and then I have a lot of apps late.",448340,@221211 Tell us which iOS version you have installed via DM. https://t.co/GDrqU22YpT,app_issue
2680030,"@AppleSupport any chance you guys know why itunes wont install on my PC? Windows 10, and the first time I have installed it on this PC.",2680029,@754042 Do you have any Anti-Virus software running on the computer?  DM us back. https://t.co/GDrqU22YpT,app_issue
1908188,"@AppleSupport since update to iOS 11.0.3 my iPhone SE keeps freezing, turning on apps and battery life is awful. Please help",1908187,"@568450 We're happy to help and would like to go into more detail, so let's meet in DM and see what we can do for you. Thanks! https://t.co/GDrqU22YpT",ios_update
1162159,Anyone got a way of stopping this @115858 message popping up all day? Or is it time to buy a @1647 @AppleSupport https://t.co/NMK1dmlHv8,1162157,"@393438 We'd like to look into this with you. To get started, which exact iOS version do you have installed? Is your iMessage activated?",app_issue
2125015,🗣 FIX THE KEYBOARD GLITCH @115858,2125014,@625809 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_issue
656295,"my game dont work on my phone anymore really want to cry. @AppleSupport This is the last straw, yall cant tell me how to fix the problem the phone is the problem. Im tired and ima need more help than what yall been doing",656294,@276140 What game are you having issues with? Is it the only app you're currently having issues with?  Let us know so we can help out.,app_issue
2285607,@115858 wtf why aren’t I getting message notifications????,2285606,@664168 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,device_issue
1277234,@AppleSupport what is the email address for your fraud team? Have received a dodgy email pertaining to be from you. Thanks,1277233,@418929 Thanks for reaching out. Take a look here for more info on reporting phishing emails: https://t.co/LNMCdqt6fD,other_support
553631,@AppleSupport help me. Every ten mins my phones doing this and my storage isn’t full 😩😩😩😩 It keeps restarting help. https://t.co/uwF71RNM8S,553630,@249136 We'd like to help. Follow these steps &amp; let us know if that resolves the issue: https://t.co/osZOKKTalm,device_issue
1020323,Can’t make phone calls or send a message without my phone freezing. Phone stays dark. Won’t reset Speaker won’t work. Love the update @115858,1020322,@200278 We’d love to team up with you on this. Are you using iOS 11.0.3? Let us know in DM. https://t.co/GDrqU22YpT,device_issue
1577424,IOS11 crashes my phone so bad that I can’t force restart.  I have to let the battery drain completely before it will charge.  wtf @115858,1577423,@485886 We've got your back. Send us a DM letting us know what you see on the screen when this happens to continue. https://t.co/GDrqU22YpT,device_issue
1766807,Bro what’s up with these damn question marks @AppleSupport I️ can’t send messages on fb or even tweet without the question marks coming out,1766806,@531308 We are aware of this issue and are working hard to find a resolution. We do have a workaround: https://t.co/xXaXeeSRt9,device_issue
989644,@AppleSupport ok that settled it for now. Thank you for your assistance 🤳🏾,989643,@354437 You're welcome. If you have any other questions feel free to reach out.,other_support
2890638,@AppleSupport Im currently using 11.1.2,2890639,@455484 Let's ensure that we're getting the most out of your battery. Here's how: https://t.co/bivpdfBNJ6,battery_charging
1924364,@115858 I updated my iphone 7plus and now it won’t hold a charge. is this deliberately to get me to buy the new one,1924363,@572804 We'd like to help! The iOS had changes in battery use settings. This will help: https://t.co/XxEbE7Bhna DM us any questions. https://t.co/GDrqU22YpT,battery_charging
2403590,"@AppleSupport 6s, 11.1",2403591,@691421 Are you an Apple Music subscriber?,music_media
2039651,@applesupport Can I buy AppleCare+ for an iPhone X if I purchased the phone through my carrier?,2039650,"@603080 We'd be happy to get you pointed in the right direction. Send us a DM, letting us know which country you're in. https://t.co/GDrqU22YpT",order_purchase
1892551,can you all fix this trash ass update?! @115858,1892550,@564294 Please DM us details on any issues you may be having on your iOS device and we'll be happy to see how we can help out. https://t.co/GDrqU22YpT,ios_update
2246728,@AppleSupport can you help me? Im fuking tired this phenomenon... https://t.co/Tw7Z565E4c,2246727,@654772 We'd be happy to look into this issue with you. Please DM us the iOS version currently installed and we'll get started sorting this out. https://t.co/GDrqU22YpT,other_support
1967712,"@AppleSupport hi there!
I only want to say, iOS 11.0.3 “The battery killer” 😢😰😭",1967711,"@583073 If you're having issues with battery life, we'd like to know more to see if we can help. DM us with the details to start. https://t.co/GDrqU22YpT",battery_charging
2072091,@115858 @AppleSupport @116333 The scandal of the automatic connection to Wi-Fi is still stalled! In Euse 11 https://t.co/xm4zVN7PCF,2072088,"@190290 We'd love to help. The Bluetooth and Wi-Fi buttons in Control Center only work to disconnect, not turn off those options. To turn them off, you must go to Settings. This link is the best way for you to leave feedback requesting a change: https://t.co/eTPVYVFyd8",connectivity
2283094,@AppleSupport It happened on Nov-4 when I updated my iPhone to iOS 11.1 ... it’s always freezing and it takes 2-3 mins to open whenever I want to open my iphone. And the problem didnt go after updating to iOS 11.1.1.,2283095,"@663539 DM us your country, and we'll continue working there. https://t.co/GDrqU22YpT",device_issue
794600,@AppleSupport Just fix the software in that way that the user doesn’t have to reset all settings or erase the phone in order to get a phone that works!,794602,"@278600 If you would like for us to take a further look at this with you, please meet us in DM. https://t.co/GDrqU22YpT",device_issue
1774964,@AppleSupport is there anyway I can update my iPhone 7? Getting this message even though I am still on WiFi. https://t.co/iEVBFNQmmG,1774963,@533409 We can help! This article has great steps for issues with updating over Wi-FI: https://t.co/Ui1yTnOCUz DM us for help. https://t.co/GDrqU22YpT,ios_update
2295734,@AppleSupport is this normal on all phones or just a thing with my iPX? https://t.co/npQfB27QY5,2295733,@666598 We'd like to look into this with you. What iOS version are you running on your iPhone X? You can find out in Settings &gt; General &gt; About. You can let us know in DM. https://t.co/GDrqU22YpT,device_issue
2795481,Looool wow and silly me thought this “I️” problem would be fixed by now @AppleSupport . Especially since ur products cost an arm and a leg .,2795480,"@780073 We've released an update that includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards.",device_issue
2148159,@115858 fix this damn I️ glitch I’m over I️t,2148158,@631396 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_issue
